final_display	source_file_or_directory	plot_or_extraction_script	reported_unit	principal_limit
Main Figure 1	../figure_source/source_assets/figs.drawio (page fig1)	../figure_source/export_drawio_figures.py	author-supplied explanatory architecture and preserved labels	schematic; not experimental output or evidence of a deployed implementation
Main Figure 2	../figure_source/source_assets/figs.drawio (page fig2); ../figure_source/source_assets/supplementary_figure1.png	../figure_source/export_drawio_figures.py; ../figure_source/assemble_main_composites.py	explanatory predictor and registration workflows	schematic panels; direct white export, scaling and stacking only
Main Figure 3	../figure_source/source_data/model_profile.csv; ../figure_source/source_data/runtime_profile.csv	../figure_source/make_system_figures.py	panels a--f: operation entries versus FID; parameters versus LPIPS; deterministic resource ratios; 4-model by 5-metric raw matrix; 5-configuration by 7-field direction-adjusted delta matrix; unified recurring/encounter runtime axis	one retained point estimate per model or ablation; no training-seed distribution; historical checkpoint not recovered; profiler convention incomplete; timing ranges are not statistical intervals
Main Figure 4	transform_validation/results_manuscript_reference/evaluated_events.csv; transform_validation/table3_decision_summary.csv; transform_validation/wrong_transform_injection_evaluator/evaluated_events.csv	../figure_source/make_system_figures.py; transform_validation/evaluate_transform_events.py; transform_validation/summarise_manuscript_decisions.py	300 event-level offline records and 150 fixed erroneous-transform proposals	one reconstructed scene; injection bypasses matching; not deployed commits, rollback or recovery
Main Figure 5	tables_and_figures/Experiment.txt; retained qualitative map assets	../figure_source/repair_submission_figures.py	pairwise overlap summaries and qualitative examples	legacy RMSE scale is not independently interpretable
Main Figure 6	mrpb/all_metrics/*.csv	mrpb/plot_exploration_results.py	nine retained aggregate coverage traces and six predictive occupied-cell-precision traces, all read in file order through step 1800	one layout; no run-level seeds or uncertainty; MSO multi, ORB and MSO no merge coincide; legacy OBS has no retained CSV and is not restored; no interpolation or smoothing
Main Figure 7	tables_and_figures/physical_endpoint_values.txt; ../figure_source/source_assets/supplementary_scene1.png; ../figure_source/source_assets/supplementary_scene2.png; ../figure_source/source_assets/supplementary_scene3.png	mrpb/plot_exploration_results.py; ../figure_source/assemble_main_composites.py	one run per scene and method plus three descriptive arena views	different stopping and missing comparator durations; arena views are not trials
Main Figure 8a-c and Supplementary Figure 1	scaling_kth/A2_N2_coverage.csv; scaling_kth/A2_N3_coverage.csv; scaling_kth/A2_N5_coverage.csv	../figure_source/make_system_figures.py; scaling_kth/plot_scaling_multirobot.py	one retained aggregate trace per condition on its native logged-step axis; exact first crossings and recorded endpoints derived from those rows	separate campaign manifest and run-level seeds not retained; unequal trace horizons; not a controlled scaling effect
Main Figure 8d-e and Supplementary Figure 2	scaling_kth/A3_*.csv	../figure_source/make_system_figures.py; scaling_kth/plot_kth_curves.py	one retained aggregate trace per configuration; exact first crossings derived from those rows	one floorplan; split manifest and occupied-cell-precision series not retained
Main Figure 8f	tables_and_figures/physical_endpoint_values.txt	../figure_source/make_system_figures.py	one run per scene and method	descriptive paired endpoints only
Main Table 1	tables_and_figures/main_table_values.txt	none	1,356 predicted pairs; 1,356 observed pairs; 1,000 simulated pairs per algorithm	means or fractions without intervals; legacy success uses post-registration Dice
Main Table 2	tables_and_figures/main_table_values.txt	none	one retained point estimate per ablation	no interval or hypothesis test; 200-clip temporal-prior source not recovered
Supplementary Figure 3	retained completion image assets	../figure_source/repair_submission_figures.py	ten qualitative crops	not selected to estimate failure-mode frequency
Supplementary Figure 4	retained progression image assets	../figure_source/repair_submission_figures.py	one 24-frame progression	visualisation only; not transform-drift evidence
Supplementary Figure 5	physical/single_robot/*_coverage.csv; physical/single_robot/summary.tsv	physical/single_robot/plot_realworld_single_coverage.py	MSO, MapEx and UPEN n=2; IG-Hector n=1 included	unmasked map-raster free-cell support; unequal counts and stopping
Supplementary Table 2	../figure_source/source_data/runtime_profile.csv	none	archived operational timing values and ranges	not statistical intervals; profiler protocol incomplete
Supplementary Tables 3-4	supplementary_information.tex; physical/measure_rosbag_bandwidth.py	physical/measure_rosbag_bandwidth.py	design payloads and two streams from each of ten bags	n=20 streams is not 20 independent trials
Supplementary Table 5	../figure_source/source_data/model_profile.csv	none	one retained point estimate per model or ablation	no training-seed distribution; historical checkpoint not recovered; profiler convention incomplete
Supplementary Table 6	transform_validation/results_manuscript_reference/evaluated_events.csv; transform_validation/table3_decision_summary.csv; transform_validation/wrong_transform_injection_evaluator/evaluated_events.csv	transform_validation/evaluate_transform_events.py; transform_validation/summarise_manuscript_decisions.py	300 event-level offline records and 150 fixed erroneous-transform proposals	one reconstructed scene; injection bypasses matching; not deployed commits, rollback or recovery
