event_id,base_frame_cluster,seed,target_step,source_step,gt_positive,evaluation_role,known_error_injection,arm,candidate_returned,rigid_valid,gate_accepted,gate_score,gate_threshold,reject_reason,inlier_count,inlier_ratio,translation_error_m,yaw_error_deg,within_thresholds,correct_positive_accept,incorrect_positive_accept,positive_abstention,indeterminate_challenge_accept,false_accept_known_injection,atomic_committed,changed_cells,state_unchanged_on_reject,state_hash_before,state_hash_after,known_cells_before,known_cells_after,known_coverage_gain_cells,known_coverage_gain_fraction,known_precision_vs_oracle,known_recall_vs_oracle,false_known_cells_vs_oracle,missed_known_cells_vs_oracle,semantic_accuracy_on_mutually_known,added_cells_correct_fraction,reachable_free_cells,reachable_frontiers,route_available,route_length_m,route_oracle_safe,route_oracle_collision_cells,route_oracle_unknown_cells,oracle_known_cells,oracle_reachable_free_cells,oracle_reachable_frontiers,oracle_route_available,oracle_route_length_m
SYN_a3_predicted_raw_P_s11_00200_01,a3_ours_multi_ours_orb|predicted_raw|sync_step_00200,11,200,200,true,known_transform_positive,false,predicted,true,true,true,0.8912915274228426,0.2,accepted,498,0.5171339563862928,0.022981861907602107,0.014732587200285252,true,true,false,false,false,false,true,35712,false,27889356039471dee7b4f6111984556f73a9f4427b8c48a7b020c3f8bdfedc57,c4c9ea2340cfc14a1139a0ce9353ddea736a003ec3a5f3de68b3994a4aec70a6,139118,174830,35712,0.25670294282551503,0.9966882114053652,0.9977839874483216,579,387,0.9970444932884173,0.9693660394265233,139167,1193,true,22.6,false,0,1,174638,139450,1163,true,22.6
SYN_a3_predicted_raw_P_s11_00200_01,a3_ours_multi_ours_orb|predicted_raw|sync_step_00200,11,200,200,true,known_transform_positive,false,observed_only,true,true,true,0.588624598650154,0.2,accepted,469,0.6067270375161707,0.10834221726402848,0.07582706426049413,true,true,false,false,false,false,true,37452,false,27889356039471dee7b4f6111984556f73a9f4427b8c48a7b020c3f8bdfedc57,fff803a2aa5757de2135fa393c9351be6d04e39c4fa3504af66a346a0773b5e9,139118,176570,37452,0.26921031067151624,0.9835249476128448,0.9944055703798715,2909,977,0.9850628523387519,0.8530652568621169,139471,1144,true,22.6,false,0,1,174638,139450,1163,true,22.6
SYN_a3_predicted_raw_P_s11_00140_02,a3_ours_multi_ours_orb|predicted_raw|sync_step_00140,11,140,140,true,known_transform_positive,false,predicted,true,true,true,0.5133869331043635,0.2,accepted,419,0.4894859813084112,0.1322677004159552,0.10649265531947094,true,true,false,false,false,false,true,28888,false,aa569299549b85dcacf6c3a5f835d565fba3f40486dd9f9b7f3cb4d97d120c78,05d79faeeabc9d32fc9f5ef3b497cbd9ec5d8d27b23e30c94f230f7cdc6b2eda,118766,147654,28888,0.24323459575972922,0.9818833218199304,0.9950378169139751,2675,723,0.9898881907034812,0.8566532816394351,118869,1109,true,22.6,true,0,0,145702,118537,1185,true,22.6
SYN_a3_predicted_raw_P_s11_00140_02,a3_ours_multi_ours_orb|predicted_raw|sync_step_00140,11,140,140,true,known_transform_positive,false,observed_only,true,true,true,0.7513855280618219,0.2,accepted,539,0.6042600896860987,0.0433835206856056,0.058347376143814245,true,true,false,false,false,false,true,27690,false,aa569299549b85dcacf6c3a5f835d565fba3f40486dd9f9b7f3cb4d97d120c78,7dc2ae91434cee13afd40403f3f6dd137aab8e4b7d5e2ddd04bda73998086b28,118766,146456,27690,0.23314753380597142,0.9918268968154258,0.9969595475696971,1197,443,0.9963719976042793,0.9377392560491152,118736,1098,true,22.6,true,0,0,145702,118537,1185,true,22.6
SYN_a3_predicted_raw_P_s11_00070_03,a3_ours_multi_ours_orb|predicted_raw|sync_step_00070,11,70,70,true,known_transform_positive,false,predicted,true,true,true,0.6092532059341212,0.2,accepted,286,0.3917808219178082,0.03719749343430798,0.05706825044416064,true,true,false,false,false,false,true,34016,false,41e72840b20942abbdc998db6b4cd25fd96595686720cd825585dd6ef4005240,c55cfc1070bdee8a2e47870f94b8ca5c13efcfc5b61bcbac487e161eecba0343,86971,120987,34016,0.3911188787066953,0.9918916908428178,0.9942913956667633,981,689,0.9940086329016883,0.9500235183443085,99534,1276,true,21.450000000000003,false,43,0,120695,99850,1227,true,21.6
SYN_a3_predicted_raw_P_s11_00070_03,a3_ours_multi_ours_orb|predicted_raw|sync_step_00070,11,70,70,true,known_transform_positive,false,observed_only,true,true,true,0.5922806135277847,0.2,accepted,180,0.30560271646859083,0.07475833567844616,0.038335557666869136,true,true,false,false,false,false,true,33882,false,41e72840b20942abbdc998db6b4cd25fd96595686720cd825585dd6ef4005240,39067d900bc3ae09ea0e25914cf7210d614db66cedbfd1c75a541ceb7d6744fc,86971,120853,33882,0.38957813524048246,0.9902691699833682,0.9915655163842744,1176,1018,0.9900899922290833,0.930287468272239,99731,1220,true,21.700000000000003,false,6,8,120695,99850,1227,true,21.6
SYN_a3_predicted_raw_P_s11_00180_04,a3_ours_multi_ours_orb|predicted_raw|sync_step_00180,11,180,180,true,known_transform_positive,false,predicted,true,true,true,0.8196047221116859,0.2,accepted,510,0.5848623853211009,0.04704070528948557,0.04045593805670933,true,true,false,false,false,false,true,38104,false,fe83013ffb007db200b36a21c83f4082c32bf7205a5868cf3bce3b16c583aea2,2ff93777d6c66930d6cc2b73c0c5439073fcb4e83b37931c1f9df53b622cfbd6,138478,176582,38104,0.2751628417510363,0.992439773023298,0.9952013720100856,1335,845,0.9944250115551193,0.9393239554902373,141037,1167,true,22.6,false,0,1,176092,141035,1145,true,22.6
SYN_a3_predicted_raw_P_s11_00180_04,a3_ours_multi_ours_orb|predicted_raw|sync_step_00180,11,180,180,true,known_transform_positive,false,observed_only,true,true,true,0.7707918822124951,0.2,accepted,404,0.5,0.030872508650359384,0.179828834702505,true,true,false,false,false,false,true,38423,false,fe83013ffb007db200b36a21c83f4082c32bf7205a5868cf3bce3b16c583aea2,2c243208b89d4d3df949968be388385f9fb88c1f45e8d39114522cc04f3fe7f6,138478,176901,38423,0.27746645676569565,0.992979123916767,0.9975410580832746,1242,433,0.9973642113412919,0.9556255367878614,141069,1104,true,22.6,false,0,1,176092,141035,1145,true,22.6
SYN_a3_predicted_raw_P_s11_00260_05,a3_ours_multi_ours_orb|predicted_raw|sync_step_00260,11,260,260,true,known_transform_positive,false,predicted,true,true,true,0.9022601110229976,0.2,accepted,641,0.6104761904761905,0.012259853598113303,0.008614179707279845,true,true,false,false,false,false,true,40989,false,4133ae062bedd68095704cc41ccc8cf68e0da01b73ca28122576203a5acfb549,713c87b49b1c1cfd7edfb169b0e9f769f0ae636f2d3328501ed4c46dadf41d6b,186757,227746,40989,0.21947771703336422,0.99886715902804,0.9991216050033379,258,200,0.9988043325362217,0.9870697016272658,182181,753,true,31.05,false,10,0,227688,182295,762,true,31.05
SYN_a3_predicted_raw_P_s11_00260_05,a3_ours_multi_ours_orb|predicted_raw|sync_step_00260,11,260,260,true,known_transform_positive,false,observed_only,true,true,true,0.8619647105471848,0.2,accepted,679,0.6810431293881645,0.02799874073988974,0.0064848552515570645,true,true,false,false,false,false,true,41273,false,4133ae062bedd68095704cc41ccc8cf68e0da01b73ca28122576203a5acfb549,de60cfd1cc228ba2f283da052bee76e8c635f959fc43c958671c0acbcd82959a,186757,228030,41273,0.22099840969816392,0.9970354777880104,0.9985330803555743,676,334,0.9971894050687474,0.9681389770552177,182044,711,true,31.0,false,20,0,227688,182295,762,true,31.05
